Page,Profile,control_FCP_ms,control_LCP_ms,control_TBT_ms,control_CLS,control_SI_ms,control_TTFB_ms,control_JS_KB,control_PageWeight_KB,image-opt_FCP_ms,image-opt_LCP_ms,image-opt_TBT_ms,image-opt_CLS,image-opt_SI_ms,image-opt_TTFB_ms,image-opt_JS_KB,image-opt_PageWeight_KB,rsc_FCP_ms,rsc_LCP_ms,rsc_TBT_ms,rsc_CLS,rsc_SI_ms,rsc_TTFB_ms,rsc_JS_KB,rsc_PageWeight_KB,modern_FCP_ms,modern_LCP_ms,modern_TBT_ms,modern_CLS,modern_SI_ms,modern_TTFB_ms,modern_JS_KB,modern_PageWeight_KB,nodelay_FCP_ms,nodelay_LCP_ms,nodelay_TBT_ms,nodelay_CLS,nodelay_SI_ms,nodelay_TTFB_ms,nodelay_JS_KB,nodelay_PageWeight_KB
Category/Football,fast3g,1574,17781.5,803,0.069,3130.5,24,176,40890,1591.5,3698,795,0.069,2431,32.5,216.5,740,964.5,2327.5,25,0,1063.5,32.5,180,661,966,1690,21,0,1189,51,180,661,962,1525,24,0,962,31,180,661
Cart,fast3g,1600.5,3231,45,0.04,1604,48,170,308,1570.5,3340.5,41.5,0.04,1576.5,45.5,197,335,841,1418,19.5,0,947,27,167,269,851,1333,22.5,0,961.5,40.5,167,269,853.5,1491.5,23,0,863,49,167,269
Product Detail,fast3g,1570,17015,791.5,0.056,2870,35.5,172,2947,1567,3509,793,0.056,2438.5,40.5,213,404,953.5,2274,19,0,1023,23.5,173,329,949.5,1529,19,0,949.5,31,173,329,958.5,1621,26,0,958.5,37.5,173,328
Homepage,slow3g,4075.5,63494.5,141.5,0.069,6526.5,33.5,170,152599,4106,12887.5,92,0.069,5110,26.5,197,872,2502,7255.5,40,0,2502,36.5,167,682,2518,6670,40,0,2521,43,173,688,2508,6752,38,0,2548,42,169.5,686
Category/Running,slow3g,4079,46983,809.5,0.069,6827,56,176,31228,4064,12646,801,0.069,4807,59,217,589,2462,8195,24.5,0,2502,30,180,513,2451,4887,23,0,2452,62,180,513,2455.5,5039,24,0,2478.5,28.5,180,513
Category/Training,slow3g,4081,50509.5,800,0.069,7420,24.5,176,35825,4075.5,13059,796,0.069,5119.5,40.5,217,706,2498,10664,48.5,0,2508,23.5,180,633,2581,5902,20.5,0,2602,29,180,632,2553,6657,18,0,2553,39,180,633
Category/Lifestyle,slow3g,4084.5,63315,793,0.069,8489,38.5,176,35709,4086.5,13037,794.5,0.069,5332,51,217,481,2452,9355,22,0,2572,24.5,180,410,2455,5178,22.5,0,2463.5,42,180,410.5,2466,6466,23.5,0,2468,30.5,180,410.5
Category/Basketball,slow3g,4088,62937,797,0.069,5686.5,43,176,7222,4084.5,12441.5,792.5,0.069,5458,34.5,217,494,2466,7760,23,0,2608,46,180,414,2463.5,4654,23,0,2463.5,46,180,414,2448,5745,16,0,2453,32,180,414
Category/Football,slow3g,4081,67311.5,803,0.069,6437,55,176,40890,4079.5,12462,795.5,0.069,4670.5,52.5,217,740,2470.5,7706,28,0,2470.5,29,180,661,2452.5,4893.5,19.5,0,2452.5,16,180,661,2486.5,4978,21.5,0,2514.5,38.5,180,661
Cart,slow3g,4079,10451.5,52,0.04,4117,43,170,308,4072.5,10850,48,0.04,4072.5,44,197,335,2092,3826,39.5,0,2097,35.5,167,269,2073.5,5236.5,41,0,2073.5,21,167,270,2084,5230,42.5,0,2092,35,167,270
Product Detail,slow3g,4083.5,64479,795.5,0.056,5312,32,172,2947,4087,11678.5,799.5,0.056,5155.5,28,213,404,2456,7777.5,20,0,2456,32.5,173,329,2455.5,5190,20.5,0,2466,42,173,329,2465,5551,20.5,0,2480,21.5,173,329
